영단어,한국단어,설명
Biofouling,생물 오손,"수중 환경에 잠겨있거나 노출된 표면 및 구조물에 미세생물, 식물 및 동물들과 같은 수중생물의 축적을 의미함"
Macro Bifouling,대형 생물오손,"따개비, 관갯 지렁이 등과 같이 인간의 눈에 가시적으로 분명한 다세포 생물로서 크기가 큰 생물로 인한 선체 오손을 의미함"
Micro Bifouling,미세 생물오손,세균 및 규조류 그리고 그들이 생산하는 점액 물질을 포함한 현미경적 크기의 생물로 인한 선체 오손을 의미함. 미세생물오손으로만 구성된 생물오손은 일반적으로 슬라임 층으로 봄
Niche areas,취약 구역,"수로학적 응력 다르거나, 방오 코팅 시스템의 마모나 손상, 또는 방오도료가 부적절하게 도포되어 있어 생물오손이 더 잘 발생하는 선박의 구역을 의미함. 취약 구역의 예시로 해수 흡입구, 선수 추진기, 프로펠러 샤프트 등이 있음 Marine Growth Prevention System (MGPS) 해양생물 성장방지시스템 내부 해수 냉각시스템 및 해수 흡입구에서 생물오손 축적의 방지를 위해 사용되는 방오 시스템을 의미하며 주입 시스템 및 전기분해의 양극을 사용하는 것을 포함함 2011 Guidelines for the control and management of ship’s biofouling to minimize the transfer of invasive aquatic species 2011 선박 생물오손 관리 지침서 선박의 생물오손을 통한 수중생물의 이동을 최소화하기 위해 선체와 생물부착에 취약한 구역 등을 관리하기 위한 지침"
In-water cleaning,수중 소제,"수중에서 선박으로부터 생물오손을 물리적으로 제거하는 것을 말함 대기오염 0.50% Sulphur limit 연료유 0.5% 황 함유량 규제 0.50% Sulphur limit under MARPOL Annex VI, 선박에서 배출되는 대기오염물질 중 황산화물(SO2 및 SO3)의 배출량 감축을 위해 기존 중유(3.5% S 이하) 대신 황 함유량 0.50% 이하 연료를 사용하는 규제로 2020년부터 시작된 글로벌 규제임 ECA 배출통제구역 ECA(Emission Control Area), 대기오염물질 배출을 제한하는 구역으로 크게 황산화물 배출을 제한하는 구역인 SECA(SOx Emission Control Area)와 질소산화물 배출을 제한하는 구역인 NECA(NOx Emission Control Area)로 구분됨. SECA는 2015년부터 북미지역과 북해 및 발트해 지역에서 시작되어 신조 및 운항 선박 모두 적용 대상이며, NECA는 2016년 북미지역을 시작으로 2021년 1월 1일 때부터는 북해 및 발트해 지역까지 확대될 예정이며, 신조 선박만을 대상으로 규제함"
Fuel Sampling,연료유 샘플링,"공급 연료유 내 황 함유량 검증 방법(MARPOL Annex 6, Appendix 6)에 따라 MARPOL 샘플은 100% 신뢰도를 만족해야 하며, In-use(선박에서 사용 중인 연료유)와 On-board(선박에서 사용할 의도가 있거나 사용을 위해 선적하고 있는 연료유) 샘플은 95% 신뢰도를 만족해야 함 구분 신뢰도 허용범위 0.10% 0.50% 공급 연료유 샘플 (MARPOL Deliverd Sample) 100% 0.10% 0.50% 사용중 및 보관 연료유 샘플 (In-use and onboard sample) 95% 0.09~0.11% 0.47~0.53% FONAR 적합 연료유 이용 불가시 보고서 FONAR(Fuel Oil Non-Availability Report), 적합 저유항 연료유 이용 불가시 제출하는 보고서로 벙커링 예정 항만 당국, 기국 및 입항지 당국의 동의 후 한 항차만 부 적합유 사용이 가능함 BDN 연료유 공급서 BDN(Bunker Delivery Note), 연료유 수급 시 선박에 제공되어야 하는 공급서로 협약의 요건에 따라 3년간 선박에 보관하여야 함 EGCS 배기가스 정화 시스템(스크러버) EGCS(Exhaust Gas Cleaning System), 배기가스 정화 시스템으로서 일명 스크러버라고 불림. 저유황유 사용을 대신하여 엔진에서 연소한 배기가스 중 황산화물을 줄이는 기술(MARPOL"
Annex 4,규칙에 따라 저유황유를 사용하는 것과 동등 물로,"분류됨)로서 해수를 이용하여 SO2 및 SO3를 줄임. 세정 배출수의 배출허용 가능 여부에 따라 Open(개방), Closed(폐쇄) 및 Hybrid(통합형)로 나뉨"
EGCS wash water,스크러버 배출수,"EGCS wash water는 배기가스 정화 시스템을 통과하고 나오는 세정수로 EGCS 지침서에 따라 pH, PAH(polycyclic Aromatic"
"Hydrocarbons), NTU(Nephlometric turbidity units)",및,Nitrate(상시 모니터링 제외)를 배출허용 기준치 이하로 관리함
NOx,질소산화물,"NOx(Nitrogen Oxides), 엔진의 연소에서 공기 중 질소로부터 고온에서 발생하는 물질(Thermal NOx)로서 주로 NO 및 NO2 형태로 배출됨"
Tier,선박건조일,"(이후) 허용범위(g/kWh) n(rpm) < 130 130 ≤ n < 2,000 n ≥ 2,000 I 2000.1.1. 17.0 45.0 x n-0.2 9.8 II 2011.1.1. 14.4 44.0 x n-0.23 7.7 III 2016.1.1. 3.4 9.0 x n-0.2 2.0 글로벌 질소산화물 규제이며, 국내는 Tier II 수준으로 규제 중(신조선만 적용) Selective Catalytic"
Reduction (SCR),선택적 촉매 환원 시스템,"SCR(Selective Catalytic Reduction), 엔진 연소 후 배출되는 질소산화물을 저감하는 기술로 촉매(V2O5/TiO2 기반)와 환원제인 우레아(Urea)를 이용하여 질소산화물을 물과 질소로 바꾸는 기술이며, 크게 T/C(Turbo Charger) 전단에 위치한 HP(High Pressure) SCR과 T/C 후단에 위치한 LP(Low Pressure) SCR 시스템이 있음 Exhaust Gas"
Recirculation (EGR),배기가스 재순환 시스템,"EGR(Exhaust Gas Recirculation), 엔진 연소 후 배출되는 배기가스 중 일부(30~40%)를 재순환시켜 배기가스 내 산소 농도를 낮추어 질소산화물 발생을 저감시키는 기술임"
Black Carbon (BC),블랙카본,"BC(Black Carbon), 미세먼지 중 가장 강력하게 빛을 흡수하는 성분으로, 석유, 석탄 등 화석연료 등의 불완전연소 그 때문에 생기는 탄소 입자 물질 ICCT 국제청정교통위원회 ICCT(International Council on Clean Transportation), 국제적 운송수단(선박, 항공 등)의 청정 기술을 개발하기 위한 위원회로서 IMO와는 블랙카본, EGCS 세정수, 중유 등의 논의를 함 온실가스 및 선박에너지효율 UNFCCC 유엔기후변화협약 UNFCCC(United Nation Framework Convention on Climate Change), 지구온난화 방지를 위해 온실가스 배출을 규제하기 위한 협약. 정식명칭은 ‘기후변화에 관한 기본협약’이며 1992년 5월 9일 채택되어, 1994년 3월 21일 발효됨. 2020년 5월 기준 196개 국가와 유럽연합(EU)을 합쳐 총 197개 당사국이 협약을 채택하여 거의 모든 국가가 기후변화협약 당사국임"
Kyoto Protocol,교토의정서,"감축 의무를 구체적으로 어떻게 이행해야 하는지 규정하지 않았던 유엔기후변화협약을 보완하고 규제를 강화하기 위하여 1997년 제3차 유엔기후변화협약 당사국총회에서 구체적 의무를 담은 교토의정서를 채택하였으며, 해당 의정서에는 감축해야 하는 온실가스 목록 및 감축 의무를 부담하는 국가와 그 국가의 감축량 등을 규정하고 있음 EEDI 선박에너지효율설계지수 EEDI(Energy Efficiency Design Index), 선박을 건조할 때 선박의 에너지효율을 지표화하기 위한 지수이며, 1톤 화물을 1해리 운송할 때 배출되는 CO2 배출량(g)을 나타냄. Greenhouse Gas (GHG) 온실가스 지구를 둘러싸고 있는 기체로 지표면에서 우주로 발산하는 적외선 복사열을 흡수하거나 반사할 수 있는 기체를 말하며, 온실효과를 유발하여 기후변화에 영향을 미침 화학식 명칭"
NF3,삼불화질소,"CBDR+RC 공통의 그러나 차별화된 책임과 개별 능력 CBDR+RC(Common But Differentiated Responsibilities, Respective Capabilities), 유엔기후변화협약의 원칙으로 모두가 기후변화에 대한 책임을 지니나, 국가별로 책임의 정도를 차별화하여 개발도상국과 같이 기후변화에 취약한 국가의 필요성과 상황을 충분히 고려해야 하며, 선진국은 기후변화와 그로 인한 부정적 영향에 솔선하여 대응해야 함을 의미 NMFT 비차별원칙 NMFT(No More Favorable Treatment), 국제해사기구협약은 국적 등과 관계없이 모든 선박에 대한 동일한 적용 원칙을 채택하고 있어 이를 NMFT 원칙이라 함. 국가별로 온실가스 감축의 책임이 달라지는 유엔기후변화협약의 CBDR+RC 원칙과 상충 MBM 시장기반조치 MBM(Market Based Measure), 온실가스를 효과적으로 감축하기 위하여 시장 메커니즘을 활용하는 것으로 교토의정서에서 처음 도입하여 교토 메커니즘이라 부르기도 한다. 대표적인 조치로 배출권거래제(ETS), 청정개발제도(CDM) 등이 있음. 국제해사기구 또한 온실가스 감축 방안 중 하나로 시장기반조치를 고려. 다만, MEPC 위원회는 2013년 이후 시장기반조치에 대한 논의를 당분간 중단하기로 하였으며, 2011년까지 IMO가 고려한 국제해운 부문의 시장기반조치 종류는 아래와 같음 구분 제도명 내용 제안국가 국제 온실가스 펀드 (GHG Fund) 선박 연료유 톤당 일정 분담금을 부과하는 제도, 발생된 기금을 통해 외부 배출권(credit)을 구매하여 감축목표 달성 덴마크, 사이프러스, 마셜군도, 나이지리아, IPTA 배출권거래제도 (ETS, Emission"
Trading System),선박의 배출허용량을 설정하고 이를 배출권으로,"할당하며, 타 참여자와 배출권을 거래하는 제도 배출권의 유상할당을 통해 기금을 생성하여 기후변화 대응 목적으로 활용 노르웨이, 프랑스, 독일, 영국 효율 인센티브제도 (EIS, Efficiency incentives Scheme) 온실가스 기금제도를 기반으로 탄소배출량이 일정기준 이하인 저탄소 선박에 대해 인센티브를 주는 제도 일본, 세계해운위원회(WSC) 선박효율크레딧 거래제도 (SECT, Ship Efficiency Credit Trading) 선박에 EEDI와 유사한 효율기준을 설정하여 기준미달 선박은 미달성만큼의 효율크레딧을 구매해야 하고, 기준 충족 선박은 달성만큼의 효율크레딧을 판매하는 제도 미국 항만세 (PSL,"
Port State Levy),선박이 항만에 입항 시 항해기간 동안 배출량에,"비례하는 세금을 항만당국에 납부하는 제도 항만당국이 입항 선박의 화주에게 세금 부과 자메이카 바하마 제안 (Bahamas' Proposal) 현존선의 선령별 온실가스 감축목표를 설정하고 이에 따라 강제적으로 온실가스 배출량을 규제하는 제도 바하마 환급제도 (RM, Rebate"
Mechanism),국제해사기구에서 채택된 시장기반규제에 접목,"또는 별도의 제도 개발을 통하여 개발도상국의 경제적 부담의 보상을 목적으로 함 세계자연보호기금 (WWF), 세계자연보전연맹 (IUCN) 출처 : 한국해양교통안전공단 (2019, 국제해운 시장기반조치 적합성 평가 연구)"
Paris Agreement,파리협정,"교토의정서가 종료되는 2020년 이후의 기후변화 대응 체제를 설립한 협정으로 감축 의무를 부담하던 국가가 40여 개에 불과했던 교토의정서에서 모든 유엔기후변화협약 당사국이 감축 의무를 부담하며, 감축 목표를 온실가스 배출량이 아닌 지구 평균 온도 상승을 목표(산업화 이전과 비교하여 지구 평균 온도가 2℃ 이상 상승하지 않아야 하며, 1.5℃ 이상 상승하지 않도록 노력)로 함 IMO Greenhouse Gas Study (GHG Study)"
IMO,온실가스 연구,"국제 해운이 배출하는 온실가스 배출량을 산정하고, 미래 온실가스 배출량을 예측하기 위하여 IMO에서 실시하는 연구이며 1차 연구 결과는 2000년, 2차 연구 결과는 2009년, 3차 연구 결과는 2016년에 발표됨. 현재 4차 연구 수행 중이며, 2020년 하반기에 연구 결과가 발표될 예정. 3차 연구 결과에 따르면 2012년 국제 해운은 전 세계 온실가스 배출량의 약 2.2%를 배출함 Attained EEDI"
EEDI,계산값,EEDI 계산식에 따라 계산된 해당 선박의 실제 EEDI 값 Required EEDI
EEDI,허용값,"선박의 건조 연도에 따라 해당 선박이 만족해야 하는 EEDI 값으로서, ’99~’09년까지 건조된 선박들의 선종별 EEDI 평균에 감축률을 적용한 기준값임. EEDI 허용 값은 건조 연도에 따라 단계적으로 강화되며, Phase 0(건조 연도 ’13~’14년) 0%, Phase 1(건조 연도 ’15~’19년) 10%, Phase 2(건조 연도 ’20~’24년) 20%, Phase 3(건조 연도 ’25~’30년) 30% 이상 감축하여야 함 Ship Energy Efficiency Management Plan (SEEMP) 선박에너지효율관리계획서 SEEMP(Ship Energy Efficiency Management Plan), 총톤수 400톤 이상의 국제항해 선박에 비치하여야 하는 계획서로 선박의 에너지효율 향상을 위한 계획 수립·시행·감시·평가 및 개선 등에 관한 절차, 방법 등을 기술한 문서 EEOI 에너지효율운항지수 EEOI(Energy Efficiency Operational Indicator), 선박에너지 효율관리계획서에 따라 에너지효율 향상을 위하여 현재 운항 선박의 실제 연료소비율을 모니터링할 수 있는 도구로 1톤의 화물을 1해리 운송할 때 배출되는 이산화탄소의 양을 의미함. Intial IMO Strategy on Reduction of GHG Emissions from Ships 선박 온실가스 배출 감축을 위한 IMO 초기전략 (“초기전략”) 선박 온실가스 감축을 위한 국제해사기구의 의지와 목표를 반영하여 선언한 결의안 (Res.MEPC.304(72)). 전략의 비전은 금세기 이내 가능한 가장 빨리 국제해운에서의 온실가스를 퇴출(Phase out)하는 것이며, 2030년까지 2008년 국제해운 탄소집약도 대비 40% 감축, 2050년까지 2008년 국제해운 온실가스 총 배출 대비 50% 이상 감축하는 목표 등을 포함하고 있음 National Action Plan (NAP) 국가별 행동계획 선박 온실가스 감축 관련 IMO 규제를 원활하게 이행하기 위한 제도 개발, 에너지효율 향상을 위한 수단, 각 국가의 연구 및 활동 등을 포함한 국가별 선박 온실가스 감축 계획서임 Revised IMO GHG"
Strategy,개정 전략,"초기전략은 선박 온실가스 감축을 위한 국제해사기구의 의지와 목표를 담고 있으나 선언적인 결의안일 뿐 구체적인 감축 수단은 합의되지 못함. 초기전략에 포함되지 않은 구체적인 감축 수단과 연도별 온실가스 감축 계획 등을 개정 전략에 포함할 예정이며 개정 전략은 2023년(MEPC 80th)까지 개발하여 채택할 예정 EEXI 현존선 에너지효율지수 EEDI(Energy Efficiency Existing ship Index), EEDI와 동일하게 선박의 에너지효율을 지표화하기 위한 지수이며, 계산방식도 EEDI와 동일하나 선박을 건조할 때 계산해야 하는 EEDI와 달리 EEXI는 현존선박에 적용하는 개념임. 초기전략 채택 이후 일본에서 처음으로 EEXI를 제안하였으나, ’20년 5월 기준으로 아직 EEXI 활용한 현존선 에너지효율 규제 도입 여부가 결정되지는 않았으나 앞으로 현존선 효율 규제 중 하나로 사용될 것으로 보임 Global Maritime Energy Efficiency Partnership (GloMEEP) 국제해사에너지효율파트너십 GEF(지구환경금융), UNDP(유엔개발기구), IMO(국제해사기구)가 공동으로 추진하는 프로젝트로 10개의 시범 국가를 선정하여 선박 온실가스 감축을 위한 에너지효율 조치 이행을 지원 IMO DCS 선박연료유 사용량 보고제도 IMO DCS(Data Collection System), 총톤수 5,000톤 이상의 국제항해 선박의 연료유 사용량 정보(연료유 사용량, 운항 거리, 운항시간, 선박 정보 등)를 수집하여 온실가스 배출현황을 분석하고 선박에너지 효율진단 및 규제에 활용하기 위한 제도로 2019.1.1. 이후 사용한 연료유 사용량 등을 주관청에 보고해야 함 MRV 온실가스 배출량 산정·보고·검증 MRV(Measurement, Reporting and"
Verification,또는,"Monitoring, Reporting and Verification), 신뢰성 있는 방식으로 온실가스 배출량과 감축량을 계산하기 위해 유엔기후변화협약에서 정한 온실가스 배출량 산정 원칙 EU MRV EU MRV 유럽연합 영해 항만 입항 선박의 연료유 사용량, 운항 시간, 운항 거리, 화물 운송량 등을 수집하여 선박 온실가스 배출현황 및 감축 활동의 정량적인 평가를 하기 위한 제도로, 2018년 1월부터 EU 회원국의 항만에 입항하는 총톤수 5,000톤 이상의 모든 선박이 대상임. IMO DCS와 유사한 제도이나 EU MRV는 화물 운송량을 수집하지만 IMO DCS는 화물 운송량을 수집하지 않음 Global Industry"
Alliance (GIA),저탄소 해운을 위한 국제산업연합,"GloMEEP 프로젝트 아래에서 만들어진 공공-민간 파트너십 이니셔티브로 고효율/저탄소 해운 시스템을 지원하기 위한 글로벌 해운산업 리더들과의 파트너십 구축을 목적으로 함. 해운사뿐만 아니라 석유 업계, 엔진 제조사 및 기자재업체, 빅데이터 제공업체, 항만 등 다양한 업계와의 협력을 통하여 혁신적인 선박 온실가스 감축 방안을 개발하는 것이 목표 Global Maritime Technology Cooperation Centers"
Network (GMN),국제해사기술협력센터네트워크,"유럽연합(EU)이 후원하고 국제해사기구(IMO)가 추진하는 선박 에너지효율 기술협력을 위한 전 세계 네트워크 구축 프로젝트로, 대륙별 기술협력센터를 구축하여 개도국을 대상으로 다양한 기술이전, 역량 강화 활동을 수행 International Maritime Research and Development"
Board (IMRB),국제해사연구개발이사회,"선박 연료유 톤당 기여금을 부과하여 기금을 마련하고, 이 기금으로 대형 선박의 저탄소/무탄소 연구개발 프로그램에 금융지원을 할 수 있도록 기금을 운용함. 2020년 5월 기준 IMRB 설립이 결정되지 않았으며 논의가 진행 중 Carbon Intensity"
Indicator (CII),탄소집약도지수,"CII(Carbon Intensity Indicator), 현존선의 운항에너지효율 규제 개발을 위하여 다양한 방식의 탄소집약도 계산방식이 제안되고 있으며, 제안되는 모든 지수를 CII로 통칭 GHG TC-Trust FUND 온실가스 기술협력 신탁기금 선박 온실가스 배출 감축을 목적으로 IMO 초기전략의 이행을 위한 기술협력, 역량 강화 활동을 추진함에 따른 재정적 지원을 제공함. 2019년 7월 설립된 다자 신탁기금"
EPL (EngPoLi),엔진출력제한,"EPL(Engine Power Limitation), 선박 온실가스 감축을 위하여 엔진 출력을 제한하는 저감 조치로 현존선박이 선박 교체 및 에너지효율저감장치 설치 등의 추가적인 투자 없이 즉시 적용할 수 있는 감축 수단. EngPoLi 라고 칭하기도 함"
SHaPoLi,축출력 제한,EPL과 동일하나 엔진 출력이 아닌 축 출력을 제한하는 개념으로 EPL와 SHaPoLi의 차이는 아래 표 참조 구분 기본 고정 출력제한 ShaPoLi EPL(EngPoLi) MCR MCR 제한 MCR MCR MCR 제한출력 - - 제한 MCR 제한 MCR Pme MCR의 75% 제한 MCR의 75% 제한 MCR의 75% MCR 86.25% 이상 MCR의 75% MCR 86.25% 미만 제한 MCR의 100/115 EEDI 기준값 개선 개선 기준값 개선 - (ShaPoLi) 조건 없는 출력 제한 방법이며 제한된 출력만큼 EEDI 값의 개선이 가능 - (EPL/EngPoLi) 출력 제한에 조건 있음. 제한된 출력이 엔진 Margin(MCR의 13.75%)보다 커 야 EEDI 값의 개선이 가능 - 최대출력 제한 개념이라는 점은 동일하나 EPL/EngPoLi가 ShaPoLi에 비해 더 보수적인 접근법 으로 상대적으로 EPL을 사용했을 때 EEDI 개선이 어려움 Global Warming
Potential (GWP),지구온난화지수,"온실가스가 지구온난화에 이바지하는 영향 정도를 나타내는 지수로, 이산화탄소의 지구온난화 영향을 1이라고 할 때 이와 비교하여 영향 정도를 나타낸 값. 예를 들어 메탄(CH4)의 GWP는 21, 메탄 1kg은 이산화탄소 21kg에 해당하는 정도로 지구온난화에 영향을 미침 Zero Emission"
Vessel (ZEV),탄소제로선박,"온실가스를 배출하는 화석연료를 사용하지 않고 다른 친환경 연료를 사용하여 운항하거나, 또는 온실가스를 배출한 만큼 흡수하여 배출한 온실가스를 상쇄시키는 기술을 가진 선박 Small Island Developing States (SIDS) 군소도서개발국 지속 가능한 개발을 수행하면서 인구, 자원, 위치, 재해, 취약성 및 환경파괴와 같은 비슷한 문제를 안고 있는 세계 각지의 작은 섬 국가를 통칭하는 말이며, 유엔 사무국에서 SIDS 목록으로 52개국을 수록하고 있음 - SIDS List (웹페이지) http://www.unesco.org/new/en/natural-sciences/priority -areas/sids/resources/sids-list/ Least Developed"
Countries (LDCs),최빈개도국,"지속 가능한 발전에 심각한 구조적 장애를 가지고 있는 저소득 국가로, 경제적, 환경적 충격에 매우 취약하고 인적 자산 수준이 낮음. 유엔 사무국에서 LDCs 목록으로 47개국을 수록하고 있음 - LDCs List (웹페이지) https://www.un.org/development/desa/dpad/least-devel oped-country-category.html"
Carbon intensity,탄소집약도,소비한 에너지에서 발생한 온실가스 배출량을 총 에너지소비량으로 나눈 값을 말함. 탄소 집약도가 높다는 의미는 상대적으로 탄소함유량이 높은 에너지를 사용한다(탄소를 많이 배출)는 뜻 Global Environment
Facility (GEF),지구환경금융,"개발도상국들의 환경 분야 투자 및 기술개발을 지원하기 위해 1990년 10월 설립. UNDP(유엔개발계획), UNEP(유엔환경계획), 세계은행 등 3개 기관이 공동으로 관장함"
Levels of Ambition,의욕 수준,"국제해사기구가 선박 온실가스 배출 감축을 위한 IMO 초기전략을 통하여 IMO의 선박 온실가스 감축 의지, 포부를 정량화하여 나타낸 것으로 3단계로 설정함 단계 내용 1단계 신조선에 대한 EEDI 단계적 감축을 강화 2단계 국제해운의 탄소 집약도를 ’30년까지 ’08년 대비 40% 이상 감축 3단계 국제해운의 온실가스 총배출량을 ‘50년까지 ’08년 대비 50% 이상 감축 Waste Heat Recovery System (WHRS) 선박 폐열 회수장치 선박 엔진 배기가스의 열에너지를 전기에너지로 전환하여 재활용하는 에너지 저감 기술로 연료유 효율 개선에 기여 HVO"
Hydro-treated Vegetable Oil,일반적으로 폐식용유를 사용하여 만들어지며 가공과정에서 수소가,"첨가된 식물성 연료이기 때문에 기존의 바이오 디젤 대비 연소 시 대기오염물질이 적게 배출됨. 기존 화석연료 대비 온실가스 배출은 90%까지 감소시킬 수 있으며 연료에 황이나 산소 성분이 없어 황산화물 및 질소산화물, 분진 등을 적게 배출함 Subsidiary Body for Scientific and Technological"
Advice (SBSTA),과학기술자문부속기구,"유엔기후변화협약 당사국총회와 보조 기관에 협약과 관련된 과학·기술 문제에 관한 정보와 자문을 제공하며, 매년 2회 개최함. 이 기관은 모든 당사자의 참여를 개방하며 유관 전문분야의 권한 있는 정부 대표로 구성됨 Conference of the"
Parties (COP),당사국총회,"지구온난화로 인한 피해를 줄이기 위해 1992년 유엔 환경개발 회의에서 체결한 기후변화협약의 구체적인 이행방안을 논의하기 위해 매년 개최하는 당사국의 회의임. 유엔기후변화협약 관련 최고 의사결정기구로서 당사국들이 협약의 이행 방법 등 주요 사안들을 전반적으로 검토하기 위해 매년 1회 개최 Volatile Organic Compounds (VOCs) 휘발성유기화합물 증기압이 높아 대기 중으로 쉽게 증발하는 액체 또는 기체상 유기화합물의 총칭. 대기 중에서 광화학반응을 일으켜 오존 등 광화학 산화성 물질을 생성시켜 광화학스모그를 유발하는 물질을 일컫는다. 대기오염뿐만 아니라 발암성 물질이며, 지구온난화의 원인 물질이므로 국가마다 감축을 위해 정책적으로 관리함 Representative Concentration"
Pathway (RCP),대표농도경로,"2010년 개발되어 IPCC AR5(제5차 평가보고서)에 적용되었으며, 인위적 활동이 대기에 미치는 복사량으로 온실가스 농도를 정함. 하나의 대표 복사강제력에 대해 여러 가지 사회-경제 시나리오가 될 수 있다는 의미에서 “대표 (Representative)”, 온실가스 농도 변화는 시간에 따라 달라짐을 강조하기 위하여 “경로 (Pathway)” 라는 용어 사용 구 분 설 명 CO2농도 RCP2.6 (또는 3PD) 2100년 이전 약간의 감소세를 보이며 복사강제력은 3W/㎡에서 정점 인간 활동에 의한 영향을 지구 스스로가 회복 가능한 경우 421ppm RCP4.5 2100년 까지 돌출경로(정점 후 감소) 없이 4.5W/㎡ 안정적 도달 온실가스 저감 정책이 상당히 실현되는 경우 538ppm RCP6.0 2100년 이후 돌출경로(정점 후 감소) 없이 6.0W/㎡ 안정적 도달 온실가스 저감 정책이 일부 실현되는 경우 670ppm RCP8.5 2100년에 8.5 W/㎡에 도달하기 위해 복사강제력 경로 지속적 증가 현재 추세(저감 활동 없음)로 온실가스가 배출되는 시나리오 936ppm Shared Socioeconomic"
Pathway (SSP),공통사회·경제 경로,"발전하는 사회와 자연 시스템의 실현 가능한 다중 추세를 분석하는 시나리오이며, 인구 / 경제 / 개발 / 기술 / 생활양식 / 환경·자원 / 정책·제도 고려함 구 분 설 명"
SSP 1,지속가능성,"자원 집약도와 화석연료 의존도를 줄이면서 개발 목표 달성을 위한 지속적인 노력을 기울여, 지속가능성을 목표로 상대적으로 양호한 진전을 보임. 이는 급속한 기술 개발 과 강력한 경제 성장을 이룬 환경친화적인 세계이며, 저소득 국가도 포함된다."
SSP 2,현재추세유지,"개발 목표 달성을 위해 일부 진전의 추세가 보이는, 최근 수십 년의 전형적 세계. 화 석 연료 의존도가 서서히 감소하고 있으며 저소득 국가의 개발이 고르지 않게 진행됨"
SSP 3,분열화,"극심한 빈곤, 적당한 재산, 빠르게 성장하는 인구를 상대로 생활 수준을 유지하기 위 해 고군분투하는 지역이 특징"
SSP 4,불평등,"상대적으로 작은 매우 불평등한 세상으로, 부유한 전 세계 엘리트가 대부분의 GHG 배출량의 책임이 있는 반면, 기후의 영향에 취약한 더 크고 가난한 그룹은 해로운 배 출량에 거의 기여하지 않음. 완화 노력이 미비하고, 비효율적인 기관과 대규모 빈곤층 의 낮은 수입 때문에 적응이 어렵다."
SSP 5,재래식 개발,"사회적, 경제적 문제의 해결책으로서 발전을 통해 경제 성장을 지향하는 세계. 빠른 재래식 개발은 화석연료가 지배하는 에너지 체계를 야기하고, 이로 인해 GHG 배출량 과 이를 완화하기 위한 과제 증가 해양 플라스틱"
Fishing Gear,어구,"어업 활동에 있어 사용되는 다양한 도구를 총칭함. 해상으로부터 발생하는 해양 플라스틱 쓰레기의 80% 이상이 유실되는 어구로 추정된다는 연구 결과가 있음 Illegal, unreported and unregulated fishing (IUU) 불법·비보고·비규제 어업 2009년 12월 체결된 「대한민국 정부와 러시아연방 정부 간 해양생물자원의 불법 비보고 비규제어업 방지 협력에 관한 협정」에 나오는 이름으로 무허가 혹은 어업 활동에 관한 국내·외 관련 법규 및 의무를 위반할 경우, 관련 국가 또는 국제 수산기구에 보고하지 않거나 거짓 보고할 경우, 그리고 공해 또는 국제수산기구 관할 수역 내 무국적 어선을 이용할 경우를 지칭함 Abandoned, Lost or otherwise Discarded Fishing Gear (ALDFG) 버려지거나 유실되는 폐어구 어업 활동 중 버려지거나(abandoned) 유실(lost) 또는 고의로 버려지는(discarded) 폐어구를 총칭. 해양 플라스틱 쓰레기의 상당 부분이 ALDFG로 구성되어 있어 이에 대한 국제적 차원의 대응이 진행되고 있음 NOWPAP 북·서태평양 보전실천계획 NOWPAP (Northwest Pacific Action Plan), 유엔 환경 계획(UNEP)이 연안 및 해양자원의 지속 가능한 이용개발 및 관리를 위하여 추진해온 지역협력프로그램으로 1994년 9월 서울에서 제1차 정부 간 회의를 통해 활동계획(Action Plan)을 채택하여 정식으로 출범함. 관할 해역은 북위 33 ~ 52° 와 동경 121 ~ 143° 사이의 회원국 (한·중·일·러 4개국) 해양 및 연안 지역임 Regional Fisheries Management Organization (RFMO) 지역수산관리기구 정해진 지역의 수산자원 보존과 지속적인 이용을 위해 설립된 국제기구로서, 2001년 12월 유엔공해 어족보존협정이 채택된 이후 지역 수산관리기구는 단순히 양적으로만 증가했을 뿐만 아니라 어업관리 권한도 실질적으로 크게 강화됨 Regional Action Plan on Marine Litter (RAP MALI) 해양 쓰레기 지역실천계획 NOWPAP 회원국들은 해양 쓰레기 저감 및 수거를 위해 노력해옴. 회원국들은 정부 및 지방정부 차원에서 해양 쓰레기 오염 예방, 모니터링 및 수거 활동들을 수행하도록 권장했으며, 이에, 해양 쓰레기 지역실천계획(RAP MALI)을 수립 Exclusive Economic"
